,Post-SPAC Ticker Symbol,Post-SPAC Company Name,Merged Company Name (if Different than DeSPAC),SPAC Name / Ticker,Merger Completion Date (Announced),Post-Completion Events,Total Return (from SPAC IPO price),Annualized Return (from SPAC IPO),Current Price,% Change Prev,Market Cap,Warrant Trading Status,Warrant Link,SPAC IPO Date,SPAC IPO Size (M),SPAC Initial Target Industry,Notable Leadership / Sponsor,SPAC Underwriter(s),Status,Closing Press Release,Merger Partner Leadership,Est. Date Warrants Exercisable,Warrant Exercise Deadline (if Called)
0,ASTS,AST SpaceMobile,,New Providence Acquisition Corp (NPA),2021-04-06,,-21.90%,-13.69%,$7.81,-7.57%,"$224,537,498",Warrants Trading,Warrant Link,2019-09-11,$230.0,Consumer Goods,"Gary Smith (Fmr CEO, Big Red; Fmr COO Red Bull)","BTIG, I-Bankers",Trading,Closing Press Release,,2021-05-06,
1,INVZ,"Innoviz Technologies, Inc.",,Collective Growth Corp (CGRO),2021-04-05,,0.90%,0.94%,$10.09,1.20%,"$191,836,027",Warrants Trading,Warrant Link,2020-05-01,$150.0,Cannabis,Peter Cuneo (Former CEO Marvel Comics; Former President of Black &  Decker; Former CEO of Remington Products),Cantor,Trading,Closing Press Release,,2021-05-05,
2,FOA,Finance of America Companies Inc.,,Replay Acquisition Corp (RPLA),2021-04-01,,0.60%,0.29%,$10.06,0.55%,,Warrants Trading,Warrant Link,2019-04-03,$287.5,"Argentina, Brazil",,"Credit Suisse, BofA Securities",Trading,Closing Press Release,,2021-05-01,
3,PSFE,Paysafe Limited,,Foley Trasimene Acquisition Corp. II (BFT),2021-03-30,,34.90%,52.64%,$13.49,-3.57%,,Warrants Trading,Warrant Link,2020-08-18,"$1,467.0",,Bill Foley (Chairman of Fidelity National Financial and Black Knight;  Owner of NHL Team: Vegas Golden Knights),"Credit Suisse, BofA Securities",Trading,Closing Press Release,,2021-08-18,
4,ARVL,Arrival,,CIIG Merger Corp (CIIC),2021-03-25,,44.00%,32.71%,$14.40,8.60%,"$8,728,973,048",Warrants Trading,Warrant Link,2019-12-13,$258.8,"TMT (Tech, Media, Telecom)",Peter Cuneo (Former CEO Marvel Comics; Former President of Black &  Decker; Former CEO of Remington Products),"UBS, Barclays",Trading,Closing Press Release,,2021-04-24,
5,NVVE,Nuvve Holding Corp,,Newborn Acquisition Corp (NBAC),2021-03-22,,-9.00%,-7.68%,$9.10,-4.41%,"$67,886,002",Warrants Trading,Warrant Link,2020-02-14,$58.0,Asia (Non-China),,Chardan,Trading,Closing Press Release,,2021-04-21,
6,LBPS,4D pharma plc,,Longevity Acquisition Corp. (LOAC),2021-03-22,,29.40%,11.14%,$12.94,7.86%,"$209,053,667",Warrants Trading,Warrant Link,2018-08-28,$40.0,China,,Cantor,Trading,Closing Press Release,,2021-04-21,
7,PCT,"PureCycle Technologies, Inc.",,Roth CH Acquisition I Co (ROCH),2021-03-17,,159.80%,168.09%,$25.98,-7.71%,"$3,074,158,787",Warrants Trading,Warrant Link,2020-05-05,$76.5,"Business Services, Consumer, Healthcare, Tech, Wellness","Byron Roth (CEO, Roth)","Roth Capital Partners, Craig-Hallum Capital Group",Trading,Closing Press Release,,2021-05-05,
8,AEVA,"Aeva, Inc.",,Interprivate Acquisition Corp (IPV),2021-03-12,,2.60%,2.17%,$10.26,7.10%,"$2,165,299,176",Warrants Trading,Warrant Link,2020-02-04,$241.5,,"Ahmed Fattouh (CEO, InterPrivate)","Morgan Stanley, EarlyBirdCapital, Inc.",Trading,Closing Press Release,,2021-04-11,
9,OUST,"Ouster, Inc.",,Colonnade Acquisition Corp. (CLA),2021-03-11,,-13.00%,-19.77%,$8.70,6.10%,"$1,404,607,139",Warrants Trading,Warrant Link,2020-08-20,$200.0,"Natural Resources, Energy, Real Estate, Agriculture",,BTIG,Trading,Closing Press Release,,2021-08-20,
10,VIEW,"View, Inc.",,CF Finance Acquisition Corp II (CFII),2021-03-08,,-30.00%,-47.00%,$7.00,0.29%,"$1,607,036,200",Warrants Trading,Warrant Link,2020-08-27,$500.0,"Financial Services, Health-care, Real Estate Services, Tech, Software","Howard Lutnick (CEO, Cantor)",Cantor,Trading,Closing Press Release,,2021-08-27,
11,CHPT,"ChargePoint Holdings, Inc.",,Switchback Energy Acquisition Corp (SBE),2021-02-26,,122.70%,70.86%,$22.27,-6.90%,"$6,185,900,168",Warrants Trading,Warrant Link,2019-07-25,$300.0,Energy,"Ray Kubis (Chairman, Gridtential)","Goldman Sachs, Citigroup",Trading,Closing Press Release,,2021-03-28,
12,BFLY,"Butterfly Network, Inc.",,Longview Acquisition Corp. (LGVW),2021-02-16,,49.90%,55.03%,$14.99,-2.79%,"$2,867,428,062",Warrants Trading,Warrant Link,2020-05-21,$414.0,Healthcare,"Larry Robbins (Founder/CEO, Glenview)","UBS, Cowen",Trading,Closing Press Release,,2021-05-21,
13,NUVB,Nuvation Bio Inc.,,Panacea Acquisition (PANA),2021-02-10,,13.50%,16.99%,$11.35,-3.49%,"$2,470,327,583",Warrants Trading,Warrant Link,2020-07-01,$143.8,"Biotech, Healthcare",,Cowen,Trading,Closing Press Release,,2021-07-01,
14,PLBY,"PLBY Group, Inc.",Playboy Enterprises Inc.,Mountain Crest Acquisition Corp (MCAC),2021-02-10,,284.00%,328.04%,$38.40,-9.82%,"$1,288,740,915",Warrants Trading,Warrant Link,2020-06-05,$58.6,,,Chardan,Trading,Closing Press Release,,2021-06-05,
15,MILE,"Metromile, Inc.",,INSU Acquisition Corp. II (INAQ),2021-02-09,,-20.30%,-32.64%,$7.97,-4.55%,"$1,004,742,008",Warrants Trading,Warrant Link,2020-09-02,$230.0,"Insurance, InsureTech",Cohen & Company,Cantor,Trading,Closing Press Release,,2021-09-02,
16,GMTX,"Gemini Therapeutics, Inc.",,FS Development Corp. (FSDC),2021-02-05,,12.40%,18.25%,$11.24,2.09%,"$483,304,928",Warrants Trading,Warrant Link,2020-08-12,$105.0,"BioTech, Healthcare","Dr. Jim Tananbaum (Founder, Foresite Capital)",Jefferies,Trading,Closing Press Release,,2021-08-12,
17,ETWO,"E2open Parent Holdings, Inc.",,CC Neuberger Principal Holdings I (PCPL),2021-02-05,,-0.80%,-0.82%,$9.92,-3.22%,"$2,323,069,585",Warrants Trading,Warrant Link,2020-04-24,$414.0,"Finance, Tech","Chinh Chu (Founder/Managing Partner, CC Capital; Former Managing  Director at Blackstone)","Goldman Sachs, BofA Securities, UBS",Trading,Closing Press Release,,2021-04-24,
18,ADN,"Advent Technologies Holdings, Inc.",,AMCI Acquisition Corp (AMCI),2021-02-04,,23.20%,9.58%,$12.32,-0.08%,"$568,025,166",Warrants Trading,Warrant Link,2018-11-15,$220.5,"Natural Resources, Mining",,"Jefferies, UBS",Trading,Closing Press Release,,2021-03-06,
19,APPH,"AppHarvest, Inc.",,Novus Capital Corp (NOVS),2021-02-01,,60.00%,64.99%,$16.00,-1.17%,"$1,566,796,160",Warrants Trading,Warrant Link,2020-05-15,$100.0,"Smart Tech, 5G communication, VR, AI, Cloud, Machine Learning","Robert Laikin (Founder of L7 Investments and Chairman of Washington  Prime Group), Larry Paulson (Former VP of Product Mgmt of Qualcomm)","EarlyBirdCapital, I-Bankers",Trading,Closing Press Release,,2021-05-15,
20,UWMC,UWM Holdings Corporation,"United Wholesale Mortgage, LLC","Gores Holdings IV, Inc (GHIV)",2021-01-21,,-25.10%,-20.40%,$7.49,-1.19%,"$16,581,447,337",Warrants Trading,Warrant Link,2020-01-24,$425.0,"Industrials, Tech, Telecom, Media and Entertainment, Business Services,  Healthcare and Consumer",Alec Gores (Founder of The Gores Group,"Deutsche Bank, Morgan Stanley",Trading,Closing Press Release,,2021-02-20,
21,LOTZ,"CarLotz, Inc.",,Acamar Partners Acquisition Corp (ACAM),2021-01-21,,-27.20%,-12.63%,$7.28,-0.82%,"$827,517,623",Warrants Trading,Warrant Link,2019-02-21,$300.0,Consumer and Retail,"Charles Bernicker (CEO, South Mountain Merger Corp & Former CFO,  CardConnect)","Goldman Sachs, Deutsche Bank",Trading,Closing Press Release,,2021-02-20,
22,HIMS,"Hims & Hers Health, Inc.",,Oaktree Acquisition Corp (OAC),2021-01-20,,23.00%,13.12%,$12.30,-4.35%,"$2,250,576,544",Warrants Trading,Warrant Link,2019-07-17,$201.3,"Industrial, Consumer",,"Credit Suisse, Deutsche Bank",Trading,Closing Press Release,,2021-02-19,
